num_vacantes,especialidad,jornada,colegio,file,fecha
1,MAESTRO/A EDUCACIÓN INFANTIL DOMINIO DE LA LENGUA,COMPLETA,VIRGEN DEL MAR,020921_vacantes_cc_1.pdf,2 de septiembre de 2021
1,MAESTRO/A EDUCACIÓN ESPECIAL E INFANTIL CON DECA,PARCIAL,PUREZA DE Mª-LOS REALEJOS,020921_vacantes_cc_2.pdf,2 de septiembre de 2021
2,PROFESOR RELIGIÓN DE LA ESO,PARCIAL,PUREZA DE Mª-LOS REALEJOS,020921_vacantes_cc_2.pdf,2 de septiembre de 2021
1,PRIMARIA CON FRANCÉS NIVEL B-2,PARCIAL,ISABEL LA CATÓLICA SAN ANTONIO,021121_vacantes_cc_2.pdf,2 de noviembre de 2021
1,MAESTRO/A ED. INFANTIL,COMPLETA,LUTHER KING SUR,021121_vacantes_cc_3.pdf,2 de noviembre de 2021
1,MAESTRO/A ED. INFANTIL CON INGLÉS B2,COMPLETA,SANTA ROSA DE LIMA,0251121_vacantes_cc_1.pdf,2 de noviembre de 2021
1,PROFESOR/A DE PRIMARIA -P.T.,COMPLETA,LUTHER KING-ARAFO,030222_vacantes_cc_1.pdf,3 de febrero de 2022
1,"LCDO/A - GRADO CC FÍSICAS, CC QUÍMICAS, BIOQUÍMICA, CC AM",COMPLETA,CAEPA RADIO ECCA,030522_vacantes_cc_1.pdf,3 de mayo de 2022
1,LICDO/A-GRADUADO/A MATEMÁTICAS(CC.EXPERIMENTALES Y D,COMPLETA,FUNDACIÓN ECCA,030522_vacantes_cc_2.pdf,3 de mayo de 2022
1,LICENCIADO/A MATEMÁTICAS/INGLÉS B2,PARCIAL,SAN ISIDRO-SALESIANOS,030921_vacantes_cc_1.pdf,3 de septiembre de 2021
1,PROFESOR/A PRIMARIA,PARCIAL,CPEIPS SAN VICENTE DE PAÚL,030921_vacantes_cc-3.pdf,3 de septiembre de 2021
1,MAESTRO/A ED. PRIMARIA CON PSICOPEDAGOGÍA PARA PT Y OR,COMPLETA,CERVANTES,031121_vacantes_cc_1.pdf,3 de noviembre de 2021
1,MAESTRO/A ED. PRIMARIA ESP. INGLÉS CON B-2,COMPLETA,CERVANTES,031121_vacantes_cc_1.pdf,3 de noviembre de 2021
1,DIPLOMADO MAGISTERIO: EDUCACIÓN PRIMARIA- B2 INGLÉS,COMPLETA,CPEIPS LOS ÁNGELES,031121_vacantes_cc_2.pdf,3 de noviembre de 2021
1,"MATEMÁTICAS, BIOLOGÍA, FÍSICA Y QUÍMICA-EDU.SECUNDARIA",COMPLETA,CPEIPS LA SALLE ARUCAS,031121_vacantes_cc_3.pdf,3 de noviembre de 2021
1,LICENCIADO/A FÍSICA,COMPLETA,CHAMBERÍ,040122_vacantes_cc_1.pdf,4 de enero de 2022
1,GRADO EDUCACIÓN INFANTIL/DECA,COMPLETA,ADONAI,040722_vacantes_cc.pdf,4 de julio de 2022
1,GRADO EDUCACIÓN PRIMARIA ESPECIALIDAD MÚSICA/DECA,COMPLETA,ADONAI,040722_vacantes_cc.pdf,4 de julio de 2022
1,GRADO EDUCACIÓN PRIMARIA ESPECIALIDAD MÚSICA/DECA,PARCIAL,ADONAI,040722_vacantes_cc.pdf,4 de julio de 2022
1,GRADO LENGUAS MODERNAS(INGLÉS/FRANCÉS) MÁSTER PROF.,PARCIAL,ADONAI,040722_vacantes_cc.pdf,4 de julio de 2022
1,GRADO O INGENIERÍA EN CC EXPERIMENTALES/MÁSTER PROF.,PARCIAL,ADONAI,040722_vacantes_cc.pdf,4 de julio de 2022
1,FILOLOGÍA INGLESA,PARCIAL,SANTA ISABEL DE HUNGRIA,050522_vacantes_cc_1.pdf,5 de mayo de 2022
1,GRADO GEOGRAFÍA E HISTORIA-MÁSTER PROFESORADO B2 INGLÉS,PARCIAL,CPEIPS MARÍA AUXILIADORA-TELDE,050722_vacantes_cc_1.pdf,5 de julio de 2022
1,LICENCIADO/A PSICOLOGÍA,PARCIAL,VIRGEN DEL MAR,051021_vacantes_cc_3.pdf,5 de octubre de 2021
1,MAESTRO/A DE ED. PRIMARIA CON CERTIFICACIÓN EN INGLÉS Y CPARCIAL,PARCIAL,DOMINICAS VISTABELLA,051021_vavantes_cc_1.pdf,5 de octubre de 2021
1,GRADO EDUCACIÓN INFANTIL,COMPLETA,JUAN RAMÓN JIMÉNEZ,051021_vavantes_cc_2.pdf,5 de octubre de 2021
1,GRADO EDUCACIÓN PRIMARIA,COMPLETA,JUAN RAMÓN JIMÉNEZ,051021_vavantes_cc_2.pdf,5 de octubre de 2021
1,ED. SECUNDARIA MATEMÁTICAS Y TECNOLOGÍA,PARCIAL,NTRA. SRA. DEL BUEN CONSEJO-LA LAGUNA,051121_vacantes_cc_1.pdf,5 de noviembre de 2021
1,GRADUADA EN EDUCACIÓN PRIMARIA,PARCIAL,COLEGIO NTRA. SRA. DEL PILAR,051121_vacantes_cc_2.pdf,5 de noviembre de 2021
1,PROFESOR /A MÚSICA PARA ED. SECUNDARIA CON CAP O MÁSTEPARCIAL,PARCIAL,RODRIGUEZ CAMPOS,051121_vacantes_cc_3.pdf,5 de noviembre de 2021
1,DIBUJO ESO,PARCIAL,COLEGIO SANTA TERESA DE JESÚS,060422_vacantes_cc_1.pdf,6 de abril de 2022
1,MATEMÁTICAS/FÍSICA Y QUÍMICA-ESO,PARCIAL,CPEIPS SANTA TERESA DE JESÚS,060722_vacantes_cc_1.pdf,6 de julio de 2022
1,RELIGIÓN-ESO,PARCIAL,CPEIPS SANTA TERESA DE JESÚS,060722_vacantes_cc_1.pdf,6 de julio de 2022
1,GEOGRAFÍA E HISTORIA-ESO,PARCIAL,CPEIPS SANTA TERESA DE JESÚS,060722_vacantes_cc_1.pdf,6 de julio de 2022
2,GRADUADO/A EDUCACIÓN INFANTIL CON INGLÉS (B2 o C1),COMPLETA,HOGAR ESCUELA Mª AUXILIADORA,060722_vacantes_cc_2.pdf,6 de julio de 2022
2,GRADUADO/A EDUCACIÓN PRIMARIA ESP. INGLÉS Y B2 o C1,PARCIAL,HOGAR ESCUELA Mª AUXILIADORA,060722_vacantes_cc_2.pdf,6 de julio de 2022
1,"GRADUADO/A ED.PRIMARIA, MENCIÓN EN ATENCIÓN A LA DIVERSIDAD Y PEDAGOGÍA TERAPÉUTICA CON INGLÉS (B2 o C1)",PARCIAL,HOGAR ESCUELA Mª AUXILIADORA,060722_vacantes_cc_2.pdf,6 de julio de 2022
